fips,hrs_82,latitude,longitude,longitudes,latlong,latlong_placement,name,street,city,state,zip
"18011810601",46.439999,40.029999,86.278336,-86.278336,1,1,"ENVIROCHEM CORP.","865 SOUTH STATE ROAD 421","Zionsville","IN","46077"
"18039001600",42.490002,41.696388,85.979164,-85.979164,1,1,"MAIN STREET WELL FIELD","1120 N MAIN ST","Elkhart","IN","46514"
"18053000900",35.25,40.537781,85.633064,-85.633064,1,1,"MARION (BRAGG) DUMP","2627-2629 CENTRAL AVE","Marion","IN","46952"
"18089010301",15.91,41.62278,87.408607,-87.408607,1,1,"MIDCO II","5900 INDUSTRIAL HIGHWAY","Gary","IN","46406"
"18089010302",.37,41.5895,87.428398,-87.428398,1,1,"MIDCO I","7400 W 15TH AVE","Gary","IN","46401"
"18089020300",10.71,41.643841,87.516228,-87.516228,1,0,"CALUMET CONTAINER CO","136TH ST & ST LINE","Hammond","IN","46327"
"18089021000",.75999999,41.610001,87.460999,-87.460999,1,1,"HAMMOND DUMP","KENNEDY AVE AND US 20","Hammond","IN",""
"18089041100",20.049999,41.575821,87.432442,-87.432442,1,1,"VULCAN MATERIALS","459 NORTH CLINE AVENUE","Gary","IN","46406"
"18095011800",20.879999,39.950001,85.833298,-85.833298,1,,"E I DUPONT","MICHIGAN & MADISON STREET","Gary","IN","46040"
"18097342400",23.77,39.74028,86.21833,-86.21833,1,1,"REILLY TAR","1500 S TIBBS AVE","Indianapolis","IN","46241"
"18097390100",17.969999,39.722889,86.08242,-86.08242,1,1,"JONES CHEM/EMERSON LF","2600 S EMERSON AVE","beech Grove","IN","46107"
"18105000600",29.309999,39.1731,86.559799,-86.559799,1,1,"LEMON LANE LANDFILL","LEMON LANE","Bloomington","IN","47401"
"18105001301",42.93,39.166698,86.640503,-86.640503,1,1,"NEAL'S LANDFILL (BLOOMINGTON)","HWY #48","Bloomington","IN","47401"
"19099040100",20.6,41.746811,92.893059,-92.893059,1,1,"MIDWEST MANUFACTURING","101 HIGH ST","Kellogg","IA","50135"
"19129040202",31.629999,41.14333,95.813332,-95.813332,1,1,"AIDEX CORP.","I-29 & HIGHWAY 370","Council Bluffs","IA","51554"
"19153005100",28.91,41.578098,93.636002,-93.636002,1,1,"DES MOINES TCE","SEC 8 & 9 T78N R24W","Des Moines","IA","50309"
"20043020300",11.71,39.76667,94.883331,-94.883331,1,1,"CITY LFILL- ROSECRANS","NE 1/4, SECTION 12 T 57 N, R 36 W","Saint Josephs","MO","64505"
"20173007700",27.389999,37.723,97.266602,-97.266602,1,1,"DERBY REFINING CO.","1100 E 21ST ST","Wichita","KS","67214"
"20173010102",35.939999,37.737099,97.315598,-97.315598,1,1,"JOHNS' SLUDGE POND","29TH ST NE OF HYDRAULIC","Wichita","KS","67212"
"21037052600",37.630001,39.070724,84.491226,-84.491226,1,1,"NEWPORT DUMP","LICKING PIKE AND QUEEN CITY AV","Newport","KY","41072"
"21067003904",17.07,37.936001,84.343033,-84.343033,1,1,"BENGE DUMP","US 25 & MCCALLS MILL RD","Fayette County","KY","40503"
"21111011406",6.21,38.157299,85.674782,-85.674782,1,0,"BULK DISTRIBUTION","1292 1/2 FERN VALLEY RD","Louisville","KY","40219"
"21111011901",3.23,38.162769,85.737061,-85.737061,1,1,"BROWN WOOD PRESERVING","5200 CRITTENDEN DR","Louisville","KY","40213"
"21111012104",34.619999,38.006939,85.931114,-85.931114,1,1,"DISTLER FARM","BLEVINS GAP RD","Jefferson County","KY","40272"
"21111012702",39.52,38.191113,85.883064,-85.883064,1,1,"LEE'S LANE LANDFILL","LEES LN @ OHIO RIV","Louisville","KY","40216"
"22005030300",48.98,30.1647,90.995499,-90.995499,1,1,"OLD INGER OIL REFINERY","HWY 75 4 1/2 MI N OF TOWN","Darrow","LA","70725"
"22005030600",48.799999,30.155001,90.873337,-90.873337,1,1,"CLEVE REBER","SEC 36 T10S R3E","Sorrento","LA","70778"
"22033004603",28.02,30.58333,91.243332,-91.243332,1,1,"PETRO PROCESSORS","BROOKLAWN DRIVE","Baton Rouge","LA","70807"
"22103041103",36.75,30.282219,89.784164,-89.784164,1,1,"BAYOU BONFOUCA","BAYOU BONFOUCA","Slidell","LA","70458"
"23011010500",31.860001,44.301914,69.736946,-69.736946,1,1,"O'CONNOR CO.","EASTERN AVE, RT 17","Augusta","ME","04330"
"23011014000",40.470001,44.275829,69.988335,-69.988335,1,1,"WINTHROP LANDFILL","ANNABESSACOOK RD","Winthrop","ME","04364"
"23031005100",33.400002,43.530201,70.481499,-70.481499,1,1,"SACO LANDFILL","FOSS RD","Saco","ME","4072"
"23031030300",20.299999,43.397499,70.73214,-70.73214,1,0,"SANFORD","RUSHTON STREET","Sanford","ME","4073"
"24003702203",0,39.010849,76.633698,-76.633698,1,1,"ST. STEPHENS CHURCH ROAD","1373 ST STEPHENS CHURCH RD","Crownsville","MD","21032"
"24003751102",25.530001,39.19944,76.602783,-76.602783,1,1,"ARUNDEL CORP. ROAD SITE","6400 ARUNDEL CORP RD","Glen Burnie","MD","21061"
"24015030503",41.080002,39.61528,75.896385,-75.896385,1,1,"SAND, GRAVEL & STONE","RTE 40","Elkton","MD","21921"
"24015030901",21.18,39.618031,75.953453,-75.953453,1,0,"NORTHEAST SITE","OFF NAZARENE CAMP RD","Northeast","MD","21921"
"24510240100",7.23,39.269169,76.598892,-76.598892,1,1,"ALLIED CHEMICAL (BALTIMORE WKS)","BLOCK & WILLS ST","Baltimore","MD","21231"
"24510260700",5.46,39.282299,76.55909,-76.55909,1,1,"STEEL DRUM SITE","910 S KRESSON ST","Baltimore","MD","21224"
"24510261000",4.2600002,39.299252,76.572693,-76.572693,1,1,"MONUMENT STREET LANDFILL","MONUMENT ST AND EDISON HWY","Baltimore","MD","21205"
"25003901200",6.3099999,42.450279,73.232224,-73.232224,1,1,"GE- PITTSFIELD","BETWEEN PITTSFIELD AND LENOX, MA","Pittsfield","MA","1201"
